epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1685,2.03769,2.62336,1.25829,0.37481,0.12672,0.11303,0.04854,2.25236,3.46835,2.03162,0.0672374,0.000330935,0.000330935
2,46.457,1.91256,2.02911,1.20611,0.19008,0.20729,0.14784,0.07014,2.28289,4.02177,1.98938,0.0342374,0.000664228,0.000664228
3,67.4124,1.8927,1.88256,1.19254,0.1929,0.28096,0.17316,0.07614,2.25989,3.5728,1.85781,0.00123717,0.000997358,0.000997358
4,88.5429,1.84586,1.85232,1.18227,0.261,0.26168,0.20239,0.09072,2.24539,3.07015,1.89783,0.00099945,0.00099945,0.00099945
5,109.553,1.83663,1.81176,1.18323,0.29267,0.29363,0.20674,0.09817,2.19921,2.84639,1.8194,0.000999023,0.000999023,0.000999023
6,130.47,1.7985,1.73904,1.16627,0.24452,0.29154,0.19611,0.09571,2.12735,2.99547,1.81756,0.000998474,0.000998474,0.000998474
7,151.459,1.79475,1.66595,1.16351,0.25894,0.32121,0.23462,0.10916,2.13903,2.85055,1.82847,0.000997803,0.000997803,0.000997803
8,177.858,1.76956,1.62703,1.14233,0.26859,0.31327,0.23043,0.1085,2.06202,2.69497,1.73558,0.000997011,0.000997011,0.000997011
9,202.408,1.75471,1.60768,1.14225,0.49778,0.28743,0.26324,0.11842,2.04901,2.61808,1.70228,0.000996097,0.000996097,0.000996097
10,225.728,1.75316,1.59853,1.14574,0.33181,0.31326,0.24899,0.11729,2.03548,2.7236,1.71188,0.000995062,0.000995062,0.000995062
11,253.336,1.75365,1.61583,1.14125,0.3804,0.3293,0.27934,0.13371,2.04227,2.67644,1.6736,0.000993906,0.000993906,0.000993906
12,290.538,1.75556,1.61395,1.14837,0.34491,0.38731,0.29448,0.14407,2.03605,3.08464,1.64808,0.000992629,0.000992629,0.000992629
13,326.506,1.75314,1.57016,1.12777,0.33122,0.3893,0.30335,0.15,1.91438,2.58382,1.64574,0.000991232,0.000991232,0.000991232
14,347.81,1.73099,1.52491,1.12852,0.42895,0.3338,0.3102,0.1565,1.95095,2.37568,1.61891,0.000989715,0.000989715,0.000989715
15,369.617,1.72944,1.54575,1.13528,0.29525,0.41516,0.28912,0.13738,1.99191,2.80409,1.6869,0.000988079,0.000988079,0.000988079
16,390.618,1.76193,1.57622,1.15105,0.28695,0.3346,0.26313,0.11975,1.96178,2.61776,1.61318,0.000986323,0.000986323,0.000986323
17,411.18,1.71972,1.5173,1.13152,0.368,0.41374,0.31327,0.14995,1.87489,2.40861,1.64055,0.000984449,0.000984449,0.000984449
18,431.965,1.68648,1.48218,1.11571,0.38448,0.35016,0.31682,0.15438,1.88392,2.43204,1.58711,0.000982456,0.000982456,0.000982456
19,453.123,1.70192,1.50806,1.12425,0.46999,0.35888,0.31384,0.15897,1.955,2.63691,1.60811,0.000980345,0.000980345,0.000980345
20,473.943,1.69981,1.4885,1.11938,0.37355,0.42052,0.33899,0.16706,1.91816,2.27994,1.63181,0.000978118,0.000978118,0.000978118
21,495.13,1.71545,1.4657,1.11406,0.40747,0.40252,0.342,0.16221,1.8883,2.53992,1.58902,0.000975773,0.000975773,0.000975773
22,516.359,1.68226,1.43849,1.11648,0.40657,0.36798,0.33024,0.16428,1.84325,2.6969,1.55745,0.000973312,0.000973312,0.000973312
